INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-03T12:52:28.000000000', 2, 22, 1, 34, 961, 42);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-22T03:46:29.000000000', 1, 33, 3, 40, 1082, 134);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-24T04:34:57.000000000', 6, 15, 5, 23, 989, 193);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-22T09:36:06.000000000', 7, 28, 3, 39, 1001, 42);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-16T15:10:34.000000000', 7, 29, 3, 42, 1127, 74);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-31T11:00:07.000000000', 9, 32, 3, 30, 1114, 14);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-28T10:48:56.000000000', 2, 32, 3, 23, 946, 242);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-13T14:20:52.000000000', 4, 16, 2, 23, 1194, 120);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-13T11:46:11.000000000', 2, 23, 5, 35, 1136, 62);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-26T08:48:32.000000000', 6, 19, 5, 30, 1122, 80);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-02T21:21:12.000000000', 9, 30, 2, 39, 949, 6);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-17T07:12:52.000000000', 5, 37, 4, 40, 966, 76);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-30T02:57:20.000000000', 3, 29, 4, 26, 1047, 122);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-31T18:32:32.000000000', 5, 31, 2, 25, 1091, 1);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-09T18:16:37.000000000', 9, 28, 4, 24, 1156, 123);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-22T17:13:52.000000000', 9, 33, 4, 26, 1118, 40);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-13T07:31:15.000000000', 9, 24, 5, 39, 925, 34);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-02T23:25:43.000000000', 5, 23, 2, 31, 1129, 84);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-30T03:26:38.000000000', 4, 15, 1, 41, 927, 241);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-22T07:01:51.000000000', 8, 14, 4, 37, 910, 216);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-16T16:12:31.000000000', 4, 35, 4, 34, 1178, 108);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-16T03:29:31.000000000', 9, 33, 2, 23, 1193, 19);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-15T11:17:53.000000000', 2, 27, 3, 26, 1153, 85);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-29T19:29:47.000000000', 8, 37, 2, 42, 1086, 23);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-28T00:29:15.000000000', 8, 16, 5, 22, 1135, 193);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-18T04:00:40.000000000', 4, 17, 3, 25, 1068, 26);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-14T10:30:05.000000000', 8, 34, 4, 36, 1122, 151);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-27T10:24:05.000000000', 4, 16, 4, 32, 1078, 237);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-14T07:05:58.000000000', 3, 23, 2, 27, 1131, 50);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-09T04:52:41.000000000', 5, 14, 1, 22, 1036, 55);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-07T07:10:28.000000000', 7, 34, 4, 31, 910, 83);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-30T00:06:10.000000000', 9, 18, 3, 31, 1083, 52);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-25T08:14:50.000000000', 7, 28, 1, 41, 1035, 124);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-07T23:01:53.000000000', 8, 34, 1, 30, 1045, 116);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-09T18:15:53.000000000', 2, 34, 3, 24, 1084, 41);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-18T01:51:15.000000000', 5, 23, 2, 26, 1002, 23);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-16T15:05:57.000000000', 6, 17, 5, 23, 933, 208);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-16T10:05:25.000000000', 1, 27, 4, 35, 1122, 223);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-02T16:39:18.000000000', 2, 21, 2, 34, 1067, 176);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-28T19:02:54.000000000', 9, 25, 3, 41, 1138, 178);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-16T09:41:23.000000000', 2, 31, 2, 43, 1103, 32);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-23T19:25:26.000000000', 2, 32, 4, 33, 1101, 29);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-21T02:36:57.000000000', 2, 24, 2, 39, 1165, 232);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-03T05:40:01.000000000', 4, 30, 5, 29, 1155, 143);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-18T02:08:08.000000000', 2, 30, 1, 32, 1142, 37);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-14T04:10:52.000000000', 6, 13, 3, 24, 983, 232);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-09T06:19:00.000000000', 3, 37, 5, 30, 941, 63);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-07T12:23:35.000000000', 3, 14, 3, 42, 1117, 157);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-31T16:12:02.000000000', 5, 27, 4, 39, 990, 35);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-27T11:06:17.000000000', 1, 14, 4, 22, 1024, 44);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-23T18:58:40.000000000', 2, 34, 2, 26, 1164, 52);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-09T13:59:27.000000000', 4, 14, 5, 24, 1143, 157);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-25T23:02:17.000000000', 9, 20, 5, 33, 1110, 20);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-06T12:24:30.000000000', 3, 25, 2, 37, 940, 225);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-02T14:58:14.000000000', 4, 15, 1, 36, 1048, 11);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-13T22:30:10.000000000', 6, 29, 3, 25, 1105, 51);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-27T13:32:32.000000000', 5, 20, 1, 25, 986, 97);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-12T20:23:40.000000000', 6, 33, 3, 42, 992, 119);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-21T08:05:42.000000000', 9, 17, 5, 38, 1050, 191);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-07T17:33:15.000000000', 7, 21, 3, 27, 963, 13);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-18T18:46:46.000000000', 4, 22, 5, 37, 942, 60);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-24T11:57:58.000000000', 7, 18, 2, 28, 1065, 115);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-05T09:21:54.000000000', 6, 32, 2, 35, 1098, 123);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-19T10:03:09.000000000', 7, 31, 2, 35, 1115, 35);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-01T11:46:32.000000000', 1, 25, 4, 28, 920, 164);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-21T16:23:03.000000000', 3, 18, 4, 26, 970, 139);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-24T04:55:43.000000000', 8, 25, 1, 27, 1042, 144);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-20T01:57:37.000000000', 3, 27, 4, 39, 1148, 217);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-08T10:09:38.000000000', 2, 13, 2, 23, 1132, 248);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-30T13:56:33.000000000', 2, 34, 2, 43, 910, 123);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-15T09:34:33.000000000', 9, 18, 5, 24, 978, 170);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-20T01:15:27.000000000', 2, 16, 4, 24, 908, 79);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-24T12:22:35.000000000', 5, 23, 2, 32, 934, 229);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-17T12:20:41.000000000', 1, 23, 2, 23, 906, 132);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-21T02:00:45.000000000', 6, 17, 5, 22, 931, 41);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-02T13:53:08.000000000', 4, 27, 4, 40, 1097, 97);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-06T22:08:48.000000000', 6, 24, 1, 34, 1076, 151);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-06T02:54:19.000000000', 1, 13, 3, 23, 1044, 93);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-08T19:11:42.000000000', 7, 23, 3, 43, 1029, 175);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-15T04:41:29.000000000', 8, 28, 4, 32, 1037, 34);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-13T01:38:21.000000000', 2, 23, 2, 29, 1053, 214);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-27T01:23:57.000000000', 9, 36, 2, 41, 919, 25);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-01T18:48:00.000000000', 1, 18, 4, 24, 931, 188);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-29T23:32:54.000000000', 2, 12, 1, 29, 966, 205);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-09T17:49:53.000000000', 6, 36, 4, 36, 963, 208);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-30T19:05:02.000000000', 1, 33, 4, 34, 1088, 205);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-23T10:35:39.000000000', 1, 33, 1, 32, 974, 222);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-05T20:52:16.000000000', 3, 18, 2, 23, 1158, 236);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-22T12:40:13.000000000', 9, 22, 2, 33, 1010, 203);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-07T03:41:24.000000000', 4, 22, 5, 36, 986, 72);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-23T05:31:53.000000000', 9, 23, 5, 30, 1065, 146);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-20T01:39:14.000000000', 1, 35, 5, 25, 927, 115);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-02T22:36:26.000000000', 5, 18, 5, 32, 1122, 113);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-12T15:25:14.000000000', 5, 36, 3, 43, 1173, 152);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-18T11:14:23.000000000', 1, 36, 1, 29, 972, 106);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-15T10:16:01.000000000', 3, 13, 2, 28, 949, 184);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-27T01:36:04.000000000', 8, 22, 1, 40, 1057, 116);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-13T00:01:59.000000000', 3, 30, 2, 38, 1066, 194);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-22T12:35:12.000000000', 5, 22, 5, 34, 1018, 175);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-14T15:53:55.000000000', 1, 21, 3, 27, 1094, 227);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-11T23:34:02.000000000', 6, 24, 5, 41, 1134, 214);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-10T10:27:46.000000000', 4, 17, 4, 28, 1043, 12);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-20T07:48:46.000000000', 6, 29, 4, 34, 1091, 214);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-24T10:18:59.000000000', 3, 36, 1, 27, 986, 214);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-22T02:37:40.000000000', 3, 24, 2, 33, 1010, 240);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-28T13:43:28.000000000', 5, 22, 2, 35, 956, 63);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-14T05:11:02.000000000', 7, 14, 4, 36, 976, 143);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-08T03:06:43.000000000', 4, 18, 4, 39, 916, 92);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-25T19:49:01.000000000', 5, 18, 5, 38, 1147, 73);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-19T06:56:12.000000000', 2, 29, 5, 27, 1154, 54);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-12T22:57:32.000000000', 4, 34, 4, 35, 995, 66);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-06T01:28:13.000000000', 4, 32, 1, 38, 925, 41);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-27T21:59:02.000000000', 6, 24, 2, 33, 1167, 69);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-07T18:14:32.000000000', 4, 30, 3, 42, 1131, 56);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-27T21:22:34.000000000', 9, 30, 2, 38, 1190, 110);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-20T22:19:00.000000000', 6, 22, 3, 28, 1191, 232);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-24T13:06:10.000000000', 1, 31, 4, 33, 1191, 63);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-30T07:53:05.000000000', 2, 18, 5, 29, 1019, 148);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-05T14:43:20.000000000', 6, 35, 3, 39, 1061, 125);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-09T01:24:48.000000000', 2, 23, 2, 39, 1009, 127);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-04T18:20:49.000000000', 4, 15, 4, 22, 983, 238);
INSERT INTO bdnr.telemetry (vehicleid, registertime, waves, temperature, vibration, voltage, pressure, speed) VALUES ('ATBC2CBVHY', '2022-05-02T16:30:00.000000000', 2, 35, 2, 28, 1179, 219);
